reviews,date,review
,2021.03.09,미나리 디아스포라와 노스탤지어의 아련한 영화 (결말포함)
,2021.01.06,미나리(2020) - 이 땅의 모든 할머니들에게
,2021.03.14,"진정성 있는 이야기와 배우들의 힘 - 영화> 미나리(Minari, 2020)"
,2021.01.13,미나리
,2021.04.13,영화 <미나리> 감상 후 : 우리는 서로의 구원이 될 수 있을까? *스포주의*
,2021.01.03,스필버그가 만들어도 외국어영화일까? 커지는 '미나리' 논란
,2021.03.07,"[영화] 미나리 후기 - 마음 같지 않은 PP 자리, possible position"
,2021.03.07,[253]  '미나리'처럼 우리도 굳게 자라리라 <미나리>
,2021.03.12,[Movie Review] 미나리 
,2021.03.07,[미나리] ★★★★  소소한 유머 사이로 나오는 가족이라는 관계
,2021.03.04,[영화] 미나리(Minari)
,2021.03.13,"[리뷰 - 미나리] 한국적이면서도 보편적인, 그러나 미국적인 가족 이야기 영화 <미나리> 리뷰!"
,2021.03.08,영화 '미나리'를 보고..(가족이란 무엇인가?)
,2021.02.12,영화 - 미나리 
,2021.03.10,"미나리, Minari"
,2021.03.09,[2021-52] 미나리
,2021.03.15,미나리
,2021.03.16,미나리
,2021.03.22,"영화관람 후기 - [미나리] 감독:정이삭& 출연:스티븐 연,한예리,윤여정,앨런 김,노엘 조"
,2021.03.31,영화 미나리 리뷰
,2021.04.12,[후기] 영화 미나리 (Minari) (스포X)
,2021.04.26,"윤여정의 유머 “브래드 피트, 나 영화 찍을때 어딨었나”"
,2021.05.09,'진짜' 가족이 되어가는 과정을 담은 <미나리>
,2021.05.25,미나리
,2021.05.25,미나리
,2021.05.20,미나리 영화를 보고...
,2021.05.20,미나리 영화를보고
,2021.05.25,미나리
,2021.05.25,미나리
,2021.05.25,미나리
,2021.05.25,미나리
,2021.05.25,미나리- 2
,2021.05.25,미나리
,2021.05.25,미나리
,2021.07.11,"영화 미나리 (Minari, 2020)_ 결말, 줄거리 그리고 리뷰 "
,2021.03.04,[영화 미나리 정보&후기] 윤여정은 왜 여우조연상을 탔을까?(노스포일러 리뷰 해석)
