y,x1,x2,x3,x4,x5,x6,x7
0,0,63 ,0,0,13 ,0,0
0,0,60 ,0,0,12 ,0,0
0,1,60 ,1,0,13 ,0,0
0,0,63 ,0,0,10 ,0,0
0,0,54 ,0,0,9 ,0,0
0,1,62 ,1,0,13 ,1,0
0,0,59 ,0,0,5 ,1,0
0,0,59 ,0,0,11 ,0,0
0,0,65 ,0,0,15 ,0,0
0,0,59 ,0,0.101,13 ,0,0
0,0,60 ,0,0.12,12 ,0,0
1,1,62 ,1,0.124,12 ,0,0
0,0,64 ,0,0.2,11 ,1,0
0,0,59 ,0,0.2,11 ,1,0
0,0,58 ,0,0.24,9 ,0,0
0,0,62 ,0,0.396,15 ,0,0
1,0,66 ,1,0.4,14 ,0,0
1,0,64 ,1,0.5,17 ,0,0
0,0,68 ,0,0.528,9 ,0,1
1,0,70 ,1,0.6,10 ,0,0
0,0,60 ,0,0.7,12 ,1,0
0,0,59 ,0,0.7,10 ,1,0
0,0,66 ,1,0.768,12 ,0,0
0,0,61 ,1,0.78,9 ,0,0
0,0,69 ,0,0.912,5 ,0,0
0,0,67 ,0,1,9 ,1,0
0,0,64 ,0,1.02,7 ,1,0
0,0,66 ,0,1.116,5 ,0,1
0,0,66 ,1,1.248,1 ,0,0
0,0,62 ,0,1.26,6 ,1,0
0,0,64 ,0,1.34,14 ,0,0
0,0,69 ,1,1.344,11 ,0,0
0,0,65 ,1,1.544,4 ,0,0
0,0,66 ,0,1.68,3 ,0,1
0,0,66 ,0,1.824,1 ,1,0
0,0,66 ,0,2.06,13 ,0,0
0,1,69 ,0,2.136,13 ,0,1
0,0,64 ,0,2.304,13 ,0,0
0,0,60 ,1,2.34,7 ,0,1
0,0,66 ,0,2.364,4 ,0,1
0,1,72 ,0,2.436,9 ,1,0
0,0,66 ,0,2.725,11 ,0,0
0,0,66 ,0,2.76,2 ,0,1
0,1,66 ,0,2.8,11 ,0,0
0,1,68 ,0,2.802,11 ,0,0
0,0,57 ,0,2.88,4 ,0,1
0,0,64 ,0,3.05,8 ,0,0
0,0,67 ,1,3.154,7 ,0,1
0,0,59 ,0,3.18,14 ,0,0
0,1,70 ,0,3.36,5 ,1,0
0,0,68 ,1,3.36,7 ,1,0
0,0,61 ,0,3.456,12 ,0,0
0,0,66 ,0,3.576,11 ,0,0
0,0,60 ,0,3.6,13 ,0,0
0,0,64 ,0,3.648,3 ,1,1
0,0,66 ,1,3.672,18 ,1,0
0,1,67 ,0,3.72,13 ,0,1
0,0,58 ,0,3.804,11 ,0,0
1,0,59 ,1,3.804,13 ,1,0
0,1,67 ,1,3.816,12 ,0,0
0,0,54 ,0,3.84,13 ,1,0
0,0,59 ,0,3.84,9 ,1,0
0,1,68 ,1,3.912,5 ,0,1
0,1,67 ,0,3.96,12 ,0,0
0,0,68 ,1,4.032,10 ,0,0
0,1,66 ,1,4.056,12 ,0,0
0,1,65 ,1,4.056,13 ,1,0
0,0,65 ,0,4.188,9 ,0,0
1,1,67 ,1,4.248,13 ,0,0
0,1,68 ,1,4.32,4 ,1,1
1,1,65 ,1,4.489,13 ,0,0
0,1,66 ,0,4.5,9 ,0,0
0,0,63 ,0,4.524,13 ,1,0
0,1,66 ,0,4.572,12 ,0,0
0,0,61 ,0,4.632,9 ,0,0
0,1,67 ,1,4.716,14 ,0,0
0,1,63 ,1,4.764,13 ,0,0
0,0,60 ,0,4.8,12 ,0,0
0,0,69 ,1,4.8,6 ,0,0
1,0,63 ,0,4.896,8 ,1,0
0,1,67 ,0,4.958,9 ,0,0
0,0,67 ,1,4.964,10 ,0,0
0,1,68 ,1,4.98,12 ,0,0
1,0,67 ,0,4.992,12 ,0,0
0,0,61 ,0,5.044,11 ,0,0
0,1,60 ,1,5.108,9 ,0,0
0,0,61 ,1,5.186,12 ,0,0
0,0,66 ,1,5.254,11 ,0,0
0,0,68 ,0,5.304,5 ,0,0
0,1,67 ,1,5.328,3 ,0,1
0,0,63 ,0,5.328,8 ,0,0
0,0,76 ,0,5.4,1 ,1,0
0,0,66 ,0,5.4,11 ,0,0
0,1,69 ,0,5.424,13 ,0,0
0,0,66 ,0,5.461,12 ,0,0
0,0,62 ,0,5.532,5 ,0,0
0,0,67 ,1,5.544,9 ,0,0
0,0,69 ,0,5.58,12 ,0,0
0,0,60 ,1,5.604,12 ,0,0
0,0,68 ,0,5.664,14 ,0,0
0,1,69 ,1,5.664,18 ,0,0
0,1,69 ,1,5.669,18 ,1,0
1,1,64 ,0,5.688,10 ,1,0
0,1,67 ,0,5.724,8 ,0,0
0,1,66 ,0,5.736,11 ,0,0
0,1,69 ,0,5.76,8 ,1,0
0,0,68 ,1,5.82,16 ,0,0
1,0,68 ,1,5.82,15 ,1,0
0,1,69 ,1,5.842,8 ,0,0
0,1,67 ,1,5.856,12 ,0,0
1,0,68 ,1,5.876,15 ,1,0
0,1,69 ,0,5.904,1 ,0,0
0,1,80 ,1,5.952,0 ,1,0
0,0,63 ,0,5.952,8 ,1,0
0,1,68 ,1,5.976,14 ,0,0
0,0,66 ,0,5.988,10 ,0,0
0,1,69 ,0,5.988,12 ,0,0
1,0,60 ,0,6,12 ,1,0
0,0,65 ,0,6,2 ,0,0
1,0,63 ,0,6,13 ,0,0
0,0,69 ,1,6,10 ,0,0
0,0,60 ,0,6,11 ,1,0
0,0,63 ,1,6,12 ,0,0
0,1,62 ,1,6,12 ,0,0
0,1,60 ,0,6,9 ,1,0
0,0,64 ,0,6.012,5 ,1,1
0,1,73 ,0,6.012,1 ,1,1
0,1,69 ,1,6.036,9 ,1,1
0,0,66 ,1,6.036,13 ,0,0
0,0,59 ,0,6.108,12 ,0,0
0,0,66 ,0,6.12,10 ,0,0
0,0,65 ,0,6.12,12 ,0,0
0,0,65 ,0,6.144,9 ,0,0
0,0,62 ,0,6.144,4 ,0,0
0,0,61 ,0,6.144,10 ,0,1
0,0,65 ,0,6.156,2 ,0,1
0,1,68 ,0,6.172,13 ,0,0
0,0,68 ,0,6.192,7 ,0,0
0,0,63 ,1,6.24,6 ,0,0
0,1,68 ,0,6.264,15 ,0,0
0,0,67 ,0,6.264,2 ,0,1
0,0,68 ,0,6.288,11 ,0,0
0,1,66 ,0,6.324,12 ,0,0
0,0,62 ,0,6.336,12 ,0,0
0,0,68 ,0,6.336,8 ,0,0
0,0,60 ,0,6.336,5 ,0,1
0,1,66 ,1,6.336,11 ,0,1
0,0,66 ,0,6.348,7 ,0,0
0,0,67 ,0,6.36,3 ,0,1
0,1,68 ,1,6.36,6 ,1,1
0,0,66 ,1,6.372,6 ,0,1
0,0,67 ,1,6.384,6 ,0,1
0,1,67 ,0,6.384,7 ,0,0
0,0,69 ,0,6.384,7 ,0,0
0,0,69 ,0,6.384,10 ,0,0
0,0,68 ,1,6.384,11 ,0,0
0,0,69 ,0,6.384,10 ,0,0
0,0,63 ,0,6.384,11 ,0,0
0,0,64 ,0,6.384,1 ,0,0
0,0,60 ,0,6.384,2 ,0,0
0,1,67 ,0,6.396,9 ,0,0
0,0,60 ,0,6.42,11 ,0,0
0,1,68 ,0,6.456,8 ,0,1
0,0,67 ,0,6.456,2 ,0,1
0,0,64 ,1,6.464,8 ,0,0
0,1,66 ,0,6.471,18 ,1,1
0,0,61 ,0,6.504,13 ,0,0
0,0,68 ,0,6.528,12 ,0,0
0,1,58 ,1,6.528,11 ,0,0
0,0,68 ,0,6.54,12 ,0,0
0,0,69 ,0,6.552,9 ,0,0
0,1,67 ,0,6.564,7 ,0,0
0,0,63 ,0,6.585,10 ,0,0
0,0,62 ,0,6.588,11 ,0,0
0,1,65 ,1,6.6,6 ,0,0
0,0,62 ,0,6.612,7 ,0,0
0,0,66 ,0,6.624,5 ,0,0
0,1,65 ,1,6.628,13 ,0,0
0,1,67 ,0,6.648,12 ,1,1
0,1,67 ,1,6.66,9 ,0,0
0,1,67 ,1,6.66,11 ,0,0
0,0,65 ,1,6.66,14 ,0,0
0,0,65 ,0,6.672,12 ,0,0
0,1,69 ,1,6.672,9 ,0,0
0,1,68 ,1,6.68,12 ,1,0
0,1,67 ,0,6.682,13 ,0,0
0,0,68 ,0,6.696,3 ,0,0
0,0,66 ,0,6.706,11 ,0,0
0,1,70 ,1,6.708,12 ,0,0
0,0,62 ,1,6.72,12 ,0,0
0,0,68 ,0,6.756,8 ,0,1
0,0,63 ,0,6.756,11 ,0,0
0,1,66 ,0,6.768,12 ,0,0
0,1,67 ,0,6.768,13 ,0,0
0,1,66 ,0,6.792,7 ,1,1
0,1,69 ,1,6.794,10 ,0,0
0,0,66 ,1,6.8,3 ,0,1
0,0,61 ,0,6.804,12 ,0,0
0,1,69 ,0,6.804,11 ,0,0
0,1,71 ,0,6.84,4 ,1,1
0,1,68 ,0,6.892,10 ,0,0
0,1,69 ,1,6.924,8 ,0,0
0,1,67 ,0,6.924,10 ,0,0
0,0,59 ,1,6.957,8 ,1,0
0,0,62 ,0,6.972,11 ,1,0
0,1,68 ,0,6.972,4 ,0,1
0,0,56 ,0,6.972,10 ,1,0
0,0,69 ,1,7,14 ,0,0
0,1,68 ,1,7.032,12 ,0,0
0,1,68 ,0,7.152,10 ,0,0
0,1,65 ,0,7.188,9 ,0,0
0,1,68 ,0,7.19,13 ,0,0
1,1,64 ,0,7.2,18 ,0,0
0,1,67 ,1,7.2,9 ,1,1
0,0,61 ,0,7.2,12 ,0,0
0,0,60 ,1,7.2,12 ,0,1
1,1,69 ,1,7.2,12 ,1,1
0,0,63 ,0,7.2,11 ,0,0
0,0,59 ,1,7.244,15 ,0,0
0,1,67 ,0,7.248,13 ,0,0
0,1,67 ,1,7.328,10 ,0,0
0,1,71 ,0,7.344,11 ,0,0
0,1,68 ,0,7.38,6 ,1,0
0,0,66 ,0,7.392,7 ,0,1
0,0,65 ,0,7.416,2 ,0,1
0,1,67 ,0,7.428,11 ,0,0
0,0,68 ,1,7.476,3 ,0,1
0,1,66 ,0,7.53,10 ,0,0
0,0,64 ,0,7.533,11 ,0,1
0,0,65 ,0,7.56,12 ,0,0
0,1,69 ,1,7.56,12 ,1,0
0,0,63 ,0,7.572,13 ,0,0
0,0,67 ,0,7.656,10 ,0,0
0,0,62 ,0,7.656,3 ,0,0
0,1,68 ,0,7.68,7 ,1,0
0,1,67 ,0,7.692,11 ,0,0
0,0,66 ,1,7.7,4 ,1,0
0,1,70 ,0,7.7,1 ,1,0
0,1,69 ,1,7.7,4 ,1,1
0,1,69 ,1,7.704,8 ,0,0
0,0,61 ,1,7.743,14 ,0,0
0,0,68 ,1,7.764,13 ,0,0
0,0,68 ,0,7.788,11 ,0,0
0,1,67 ,1,7.8,13 ,0,0
0,1,66 ,1,7.81,8 ,0,0
0,1,67 ,1,7.848,11 ,0,0
