obs,amsal,amsal_cum_lag,veteran,veteran_cum_lag,fri,sat,sun
7/22/2015,477541,,,,0,0,0
7/23/2015,435039,491916,,,0,0,0
7/24/2015,543245,926955,,,1,0,0
7/25/2015,949186,1470200,,,0,1,0
7/26/2015,950620,2419386,,,0,0,1
7/27/2015,424718,3370006,,,0,0,0
7/28/2015,401083,3794724,,,0,0,0
7/29/2015,494019,4195807,,,0,0,0
7/30/2015,335000,4689826,,,0,0,0
7/31/2015,394879,5024826,,,1,0,0
8/01/2015,585686,5419705,,,0,1,0
8/02/2015,567135,6005391,,,0,0,1
8/03/2015,419544,6572526,,,0,0,0
8/04/2015,385360,6992070,,,0,0,0
8/05/2015,272959,7377430,414219,,0,0,0
8/06/2015,243290,7650389,404907,439640,0,0,0
8/07/2015,273745,7893679,477754,844547,1,0,0
8/08/2015,416563,8167424,715334,1322301,0,1,0
8/09/2015,389746,8583987,724001,2037635,0,0,1
8/10/2015,184164,8973733,420701,2761636,0,0,0
8/11/2015,171885,9157897,407694,3182337,0,0,0
8/12/2015,164521,9329782,392815,3590031,0,0,0
8/13/2015,167032,9494303,406788,3982846,0,0,0
8/14/2015,304502,9661335,715054,4389634,1,0,0
8/15/2015,371712,9965837,827984,5104688,0,1,0
8/16/2015,313498,10337549,711071,5932672,0,0,1
8/17/2015,142026,10651047,310651,6643743,0,0,0
8/18/2015,122742,10793073,275747,6954394,0,0,0
8/19/2015,102118,10915815,244240,7230141,0,0,0
8/20/2015,87911,11017933,223836,7474381,0,0,0
8/21/2015,103410,11105844,285776,7698217,1,0,0
8/22/2015,190914,11209254,535808,7983993,0,1,0
8/23/2015,189860,11400168,524191,8519801,0,0,1
8/24/2015,62802,11590028,169321,9043992,0,0,0
8/25/2015,71347,11652830,181855,9213313,0,0,0
8/26/2015,72158,11724177,200266,9395168,0,0,0
8/27/2015,51936,11796335,138587,9595434,0,0,0
8/28/2015,66397,11848271,192462,9734021,1,0,0
8/29/2015,143151,11914668,454912,9926483,0,1,0
8/30/2015,135266,12057819,432706,10381395,0,0,1
8/31/2015,47798,12193085,144260,10814101,0,0,0
9/01/2015,39781,12240883,122026,10958361,0,0,0
9/02/2015,37478,12280664,112792,11080387,0,0,0
9/03/2015,23514,12318142,87190,11193179,0,0,0
9/04/2015,31880,12341656,116810,11280369,1,0,0
9/05/2015,61341,12373536,257265,11397179,0,1,0
9/06/2015,59620,12434877,227367,11654444,0,0,1
9/07/2015,19459,12494497,67059,11881811,0,0,0
9/08/2015,16936,12513956,58662,11948870,0,0,0
9/09/2015,16605,12530892,57464,12007532,0,0,0
9/10/2015,12693,12547497,52595,12064996,0,0,0
9/11/2015,16259,12560190,72154,12117591,1,0,0
9/12/2015,34297,12576449,167184,12189745,0,1,0
9/13/2015,30547,12610746,140472,12356929,0,0,1
9/14/2015,10771,12641293,45068,12497401,0,0,0
9/15/2015,10494,12652064,41749,12542469,0,0,0
9/16/2015,2918,12662558,24714,12584218,0,0,0
9/17/2015,3084,12665476,25570,12608932,0,0,0
9/18/2015,2540,12668560,31717,12634502,1,0,0
9/19/2015,,12671100,,12666219,0,1,0
9/20/2015,,,,,0,0,1
9/21/2015,,,,,0,0,0
9/22/2015,,,,,0,0,0
9/23/2015,,,,,0,0,0
9/24/2015,,,,,0,0,0
9/25/2015,,,,,1,0,0
9/26/2015,,,,,0,1,0
9/27/2015,,,,,0,0,1
9/28/2015,,,,,0,0,0
9/29/2015,,,,,0,0,0
9/30/2015,,,,,0,0,0
