id,t,y,x1,x2,x3
1,1,5.589787443,3,9,32
1,2,6.278208908,4,16,43
1,3,6.508706827,5,25,40
1,4,6.478921398,6,36,39
1,5,6.345395541,7,49,42
1,6,6.462512891,8,64,35
1,7,6.324611206,9,81,32
2,1,6.56439099,30,900,34
2,2,6.885806317,31,961,27
2,3,6.766963638,32,1024,33
2,4,7.051308765,33,1089,30
2,5,6.763772962,34,1156,30
2,6,7.137107022,35,1225,37
2,7,7.628046861,36,1296,30
3,1,6.507411565,6,36,50
3,2,7.2296295,7,49,51
3,3,6.638235378,8,64,50
3,4,7.545286524,9,81,52
3,5,6.702481261,10,100,52
3,6,7.618860887,11,121,52
3,7,7.26172176,12,144,46
4,1,7.03182378,31,961,52
4,2,6.938685494,32,1024,46
4,3,6.826306171,33,1089,46
4,4,6.554660037,34,1156,49
4,5,7.269525294,35,1225,44
4,6,6.733000255,36,1296,52
4,7,7.323586558,37,1369,46
5,1,6.693042375,10,100,50
5,2,7.118598136,11,121,46
5,3,6.652909626,12,144,40
5,4,7.866783716,13,169,50
5,5,7.763982569,14,196,47
5,6,7.423627108,15,225,47
5,7,8.026492009,16,256,49
6,1,7.247642925,26,676,44
6,2,7.760521419,27,729,47
6,3,7.348033103,28,784,47
6,4,7.625226428,29,841,47
6,5,7.103115223,30,900,44
6,6,8.441973504,31,961,45
6,7,7.493708934,32,1024,47
7,1,6.993303059,15,225,46
7,2,7.073623668,16,256,48
7,3,7.185785698,17,289,49
7,4,6.888137988,18,324,46
7,5,6.780109223,19,361,47
7,6,7.339606924,20,400,47
7,7,6.664397855,21,441,48
8,1,7.298822269,23,529,51
8,2,7.355796991,24,576,50
8,3,7.329103194,25,625,50
8,4,7.454483817,26,676,50
8,5,6.970437362,27,729,44
8,6,6.973089222,28,784,51
8,7,7.402176384,29,841,51
9,1,7.016586588,3,9,50
9,2,7.073680013,4,16,48
9,3,7.536493666,5,25,50
9,4,7.779695846,6,36,48
9,5,7.704842173,7,49,48
9,6,7.992548759,8,64,44
9,7,7.640458522,9,81,48
10,1,6.665389795,3,9,49
10,2,7.113088233,4,16,47
10,3,6.779488111,5,25,46
10,4,6.827849896,6,36,44
10,5,7.104263896,7,49,43
10,6,7.405701193,8,64,34
10,7,7.650243895,9,81,40
11,1,6.935348644,24,576,47
11,2,7.48253974,25,625,48
11,3,7.512366672,26,676,45
11,4,7.107016438,27,729,45
11,5,7.551071734,28,784,47
11,6,7.353216712,29,841,17
11,7,7.666040255,30,900,47
12,1,7.33955118,21,441,47
12,2,6.696126371,22,484,46
12,3,6.882075695,23,529,47
12,4,6.814860068,24,576,47
12,5,7.152125593,25,625,47
12,6,7.546110339,26,676,47
12,7,7.770608122,27,729,46
13,1,7.427597097,26,676,48
13,2,7.710499347,27,729,48
13,3,7.587923251,28,784,50
13,4,8.004413885,29,841,48
13,5,8.127873335,30,900,48
13,6,7.662598971,31,961,46
13,7,8.260489576,32,1024,46
14,1,7.454981779,15,225,45
14,2,7.446720246,16,256,45
14,3,7.368040389,17,289,45
14,4,7.077519303,18,324,44
14,5,7.253357665,19,361,44
14,6,7.848316103,20,400,44
14,7,7.673395785,21,441,44
15,1,6.937250206,9,81,50
15,2,6.510174453,10,100,46
15,3,6.389711164,11,121,48
15,4,6.653705982,12,144,46
15,5,6.46924318,13,169,48
15,6,6.631535027,14,196,41
15,7,6.649224481,15,225,48
16,1,6.152088145,16,256,50
16,2,6.44790017,17,289,50
16,3,6.297493558,18,324,48
16,4,6.170618811,19,361,48
16,5,6.693060256,20,400,50
16,6,6.942066623,21,441,50
16,7,6.625384756,22,484,49
17,1,7.542081369,16,256,49
17,2,6.845358535,17,289,48
17,3,6.845616057,18,324,49
