time,sales,price,d_up,sales_lag,up_ratio,down_ratio
1,1085,12042.70968,,,,
2,1078,11998.33952,0,1085,0,-0.0036844
3,644,12081.08696,1,1078,0.006896574,0
4,289,14240.48443,1,644,0.178741986,0
5,386,14270.36269,1,289,0.002098121,0
6,557,14284.59605,1,386,0.000997407,0
7,386,14288.26425,1,557,0.000256794,0
8,391,14255.39642,0,386,0,-0.002300337
9,369,14254.52575,0,391,0,-6.10768E-05
10,389,14256.40103,1,369,0.000131557,0
11,415,14126.12048,0,389,0,-0.00913839
12,552,14035.01812,0,415,0,-0.006449213
13,443,14224.85327,1,552,0.013525822,0
14,334,14225.08982,1,443,1.66292E-05,0
15,375,14202.96,0,334,0,-0.001555689
16,281,14270,1,375,0.004720143,0
17,288,14250.17361,0,281,0,-0.001389376
18,6352,10200.36398,0,288,0,-0.284193705
19,4147,10288.90644,1,6352,0.008680323,0
20,364,14025.7967,1,4147,0.363196059,0
21,320,14186.6875,1,364,0.011471063,0
22,347,14200,1,320,0.00093838,0
23,462,14207.61905,1,347,0.000536553,0
24,381,13782.04724,0,462,0,-0.029953774
25,940,12471.42553,0,381,0,-0.095096301
26,903,11718.33887,0,940,0,-0.06038497
27,921,11720.45603,1,903,0.00018067,0
28,728,11878.94231,1,921,0.013522194,0
29,985,11771.5736,0,728,0,-0.009038574
30,455,13203.14286,1,985,0.121612395,0
31,414,13163.35749,0,455,0,-0.003013326
32,469,13170,1,414,0.000504621,0
33,392,13167.44898,0,469,0,-0.000193699
34,515,12998.75728,0,392,0,-0.012811267
35,632,12630.37975,0,515,0,-0.028339443
36,501,12728.62275,1,632,0.00777831,0
37,607,12812.63591,1,501,0.006600334,0
38,620,12993.12903,1,607,0.014087118,0
39,569,12863.66812,0,620,0,-0.009963798
40,502,13110.15936,1,569,0.019161816,0
41,513,13155.24366,1,502,0.003438883,0
42,502,13140,0,513,0,-0.001158752
43,579,12994.64594,0,502,0,-0.011061953
44,4835,9895.185729,0,579,0,-0.23851825
,,,,4835,0,-1
